architecture,dataset,noise,alpha,run_id,loss,prefix_length,sampling_strategy,train_accuracy,test_accuracy,train_distance,test_distance,train_similarity_scaled,test_similarity_scaled,train_satisfiability,test_satisfiability,nr_epochs,training_time
LSTM,BPIC_2013_closed,10,0.05,1,baseline,1,temperature,0.9750701547,0.9724633545,1.5915254237,1.3464912281,0.7427019116,0.7877834513,0.8864406943,0.8728070259,908,30.8831116012
LSTM,BPIC_2013_closed,10,0.05,1,baseline,1,greedy,0.9750701547,0.9724633545,1.3474576271,0.8464912281,0.7842714814,0.8740461774,0.9728813171,1.0,908,30.8831116012
LSTM,BPIC_2013_closed,10,0.05,1,baseline,2,temperature,0.9750701547,0.9724633545,0.9711864407,0.600877193,0.8777296426,0.9298569838,0.8254237175,0.938596487,908,30.8831116012
LSTM,BPIC_2013_closed,10,0.05,1,baseline,2,greedy,0.9750701547,0.9724633545,0.7,0.4210526316,0.9094854078,0.9524353154,0.9016948938,1.0,908,30.8831116012
LSTM,BPIC_2013_closed,10,0.05,1,baseline,3,temperature,0.9750701547,0.9724633545,0.5593220339,0.451754386,0.9469008592,0.953194615,0.8135592937,0.9605263472,908,30.8831116012
LSTM,BPIC_2013_closed,10,0.05,1,baseline,3,greedy,0.9750701547,0.9724633545,0.4627118644,0.3201754386,0.9544895045,0.9710367349,0.8305084705,0.9912281036,908,30.8831116012
LSTM,BPIC_2013_closed,10,0.05,1,GLL,1,temperature,0.9525573969,0.9260947108,2.7898305085,2.7280701754,0.563210636,0.565265362,0.9779660702,1.0,548,282.895810402
LSTM,BPIC_2013_closed,10,0.05,1,GLL,1,greedy,0.9525573969,0.9260947108,2.8305084746,2.7894736842,0.5561370552,0.5552141924,0.9779660702,1.0,548,282.895810402
LSTM,BPIC_2013_closed,10,0.05,1,GLL,2,temperature,0.9525573969,0.9260947108,1.1118644068,0.5789473684,0.8445896337,0.9228955486,0.9525423646,1.0,548,282.895810402
LSTM,BPIC_2013_closed,10,0.05,1,GLL,2,greedy,0.9525573969,0.9260947108,1.1,0.5789473684,0.8447569099,0.9228955486,0.9542372823,1.0,548,282.895810402
LSTM,BPIC_2013_closed,10,0.05,1,GLL,3,temperature,0.9525573969,0.9260947108,0.5423728814,0.3684210526,0.9376745855,0.9579832679,0.8711864352,1.0,548,282.895810402
LSTM,BPIC_2013_closed,10,0.05,1,GLL,3,greedy,0.9525573969,0.9260947108,0.5457627119,0.3684210526,0.9372932295,0.9579832679,0.8711864352,1.0,548,282.895810402
LSTM,BPIC_2013_closed,10,0.05,1,LLL,1,temperature,0.9676403105,0.975019291,1.6711864407,1.2368421053,0.7393482024,0.8171602674,0.9762711525,0.9956140518,559,29.244111991
LSTM,BPIC_2013_closed,10,0.05,1,LLL,1,greedy,0.9676403105,0.975019291,1.3389830508,0.8026315789,0.7830090386,0.8822164428,0.9779660702,1.0,559,29.244111991
LSTM,BPIC_2013_closed,10,0.05,1,LLL,2,temperature,0.9676403105,0.975019291,1.0949152542,0.5570175439,0.8740540125,0.9414500531,0.9491525292,0.9956140518,559,29.244111991
LSTM,BPIC_2013_closed,10,0.05,1,LLL,2,greedy,0.9676403105,0.975019291,0.7677966102,0.3859649123,0.8974346949,0.9594986468,0.9542372823,1.0,559,29.244111991
LSTM,BPIC_2013_closed,10,0.05,1,LLL,3,temperature,0.9676403105,0.975019291,0.7288135593,0.4166666667,0.9313078937,0.959159454,0.8677965999,1.0,559,29.244111991
LSTM,BPIC_2013_closed,10,0.05,1,LLL,3,greedy,0.9676403105,0.975019291,0.513559322,0.2850877193,0.9450766716,0.9734385728,0.8711864352,1.0,559,29.244111991
LSTM,BPIC_2013_closed,10,0.05,2,baseline,1,temperature,0.9745790899,0.9718122929,1.6762711864,1.2456140351,0.7447947971,0.7980941567,0.8762711883,0.9078947306,1552,52.5002816641
LSTM,BPIC_2013_closed,10,0.05,2,baseline,1,greedy,0.9745790899,0.9718122929,1.3491525424,0.8464912281,0.7832451161,0.8740461774,0.9559322,1.0,1552,52.5002816641
LSTM,BPIC_2013_closed,10,0.05,2,baseline,2,temperature,0.9745790899,0.9718122929,0.9813559322,0.6140350877,0.8819904217,0.9321341779,0.8305084705,0.9429824352,1552,52.5002816641
LSTM,BPIC_2013_closed,10,0.05,2,baseline,2,greedy,0.9745790899,0.9718122929,0.7033898305,0.4210526316,0.909061679,0.9524353154,0.8966101408,1.0,1552,52.5002816641
LSTM,BPIC_2013_closed,10,0.05,2,baseline,3,temperature,0.9745790899,0.9718122929,0.5779661017,0.6622807018,0.9410728317,0.9441295755,0.806779623,0.9649122953,1552,52.5002816641
LSTM,BPIC_2013_closed,10,0.05,2,baseline,3,greedy,0.9745790899,0.9718122929,0.4440677966,0.298245614,0.9553672285,0.9722550585,0.8406779766,0.9956140518,1552,52.5002816641
LSTM,BPIC_2013_closed,10,0.05,2,GLL,1,temperature,0.9533673465,0.9237557948,2.7796610169,2.7368421053,0.5649465179,0.5640296338,0.9779660702,1.0,568,293.036839894
LSTM,BPIC_2013_closed,10,0.05,2,GLL,1,greedy,0.9533673465,0.9237557948,2.813559322,2.7850877193,0.5589215588,0.5559451866,0.9779660702,1.0,568,293.036839894
LSTM,BPIC_2013_closed,10,0.05,2,GLL,2,temperature,0.9533673465,0.9237557948,1.1169491525,0.5833333333,0.8442474265,0.9221645544,0.9542372823,1.0,568,293.036839894
LSTM,BPIC_2013_closed,10,0.05,2,GLL,2,greedy,0.9533673465,0.9237557948,1.1,0.5789473684,0.8447569099,0.9228955486,0.9542372823,1.0,568,293.036839894
LSTM,BPIC_2013_closed,10,0.05,2,GLL,3,temperature,0.9533673465,0.9237557948,0.5474576271,0.3684210526,0.9370510988,0.9579832679,0.8711864352,1.0,568,293.036839894
LSTM,BPIC_2013_closed,10,0.05,2,GLL,3,greedy,0.9533673465,0.9237557948,0.5491525424,0.3684210526,0.9367121157,0.9579832679,0.8711864352,1.0,568,293.036839894
LSTM,BPIC_2013_closed,10,0.05,2,LLL,1,temperature,0.9692729533,0.9752362967,1.7389830508,1.2763157895,0.7425136134,0.8027040935,0.9762711525,1.0,552,28.7911461531
LSTM,BPIC_2013_closed,10,0.05,2,LLL,1,greedy,0.9692729533,0.9752362967,1.3389830508,0.8026315789,0.7830090386,0.8822164428,0.9779660702,1.0,552,28.7911461531
LSTM,BPIC_2013_closed,10,0.05,2,LLL,2,temperature,0.9692729533,0.9752362967,1.0423728814,0.7192982456,0.8744677364,0.9267709562,0.9525423646,0.9912281036,552,28.7911461531
LSTM,BPIC_2013_closed,10,0.05,2,LLL,2,greedy,0.9692729533,0.9752362967,0.7593220339,0.3771929825,0.8984973799,0.9607517796,0.9542372823,1.0,552,28.7911461531
LSTM,BPIC_2013_closed,10,0.05,2,LLL,3,temperature,0.9692729533,0.9752362967,0.7169491525,0.5438596491,0.931478306,0.9573888209,0.8677965999,0.9868420959,552,28.7911461531
LSTM,BPIC_2013_closed,10,0.05,2,LLL,3,greedy,0.9692729533,0.9752362967,0.5084745763,0.2719298246,0.9456692193,0.9751790351,0.8711864352,1.0,552,28.7911461531
LSTM,BPIC_2013_closed,10,0.05,3,baseline,1,temperature,0.974534446,0.9724633545,1.7813559322,1.2368421053,0.7340140615,0.8071823151,0.8847457767,0.947368443,1552,52.4776340751
LSTM,BPIC_2013_closed,10,0.05,3,baseline,1,greedy,0.974534446,0.9724633545,1.3423728814,0.8464912281,0.7852225172,0.8740461774,0.9559322,1.0,1552,52.4776340751
LSTM,BPIC_2013_closed,10,0.05,3,baseline,2,temperature,0.974534446,0.9724633545,0.9610169492,0.6271929825,0.8818034703,0.9309327074,0.8372881413,0.947368443,1552,52.4776340751
LSTM,BPIC_2013_closed,10,0.05,3,baseline,2,greedy,0.974534446,0.9724633545,0.7033898305,0.4210526316,0.90910876,0.9524353154,0.8949152231,1.0,1552,52.4776340751
LSTM,BPIC_2013_closed,10,0.05,3,baseline,3,temperature,0.974534446,0.9724633545,0.5254237288,0.5175438596,0.9490237612,0.9549817616,0.8118643761,0.9517543912,1552,52.4776340751
LSTM,BPIC_2013_closed,10,0.05,3,baseline,3,greedy,0.974534446,0.9724633545,0.4474576271,0.298245614,0.9549905806,0.9722550585,0.8338983059,0.9956140518,1552,52.4776340751
LSTM,BPIC_2013_closed,10,0.05,3,GLL,1,temperature,0.953590548,0.9239728153,2.786440678,2.7543859649,0.5635536546,0.5614885589,0.9779660702,1.0,546,282.1852348358
LSTM,BPIC_2013_closed,10,0.05,3,GLL,1,greedy,0.953590548,0.9239728153,2.813559322,2.7850877193,0.5589215588,0.5559451866,0.9779660702,1.0,546,282.1852348358
LSTM,BPIC_2013_closed,10,0.05,3,GLL,2,temperature,0.953590548,0.9239728153,1.0983050847,0.5789473684,0.8450111472,0.9228955486,0.9542372823,1.0,546,282.1852348358
LSTM,BPIC_2013_closed,10,0.05,3,GLL,2,greedy,0.953590548,0.9239728153,1.0966101695,0.5789473684,0.8452633667,0.9228955486,0.9542372823,1.0,546,282.1852348358
LSTM,BPIC_2013_closed,10,0.05,3,GLL,3,temperature,0.953590548,0.9239728153,0.5474576271,0.3684210526,0.9370652231,0.9579832679,0.8711864352,1.0,546,282.1852348358
LSTM,BPIC_2013_closed,10,0.05,3,GLL,3,greedy,0.953590548,0.9239728153,0.5457627119,0.3684210526,0.937347709,0.9579832679,0.8711864352,1.0,546,282.1852348358
LSTM,BPIC_2013_closed,10,0.05,3,LLL,1,temperature,0.9700765252,0.9756703377,1.7508474576,1.2675438596,0.7317525231,0.8138819873,0.9779660702,1.0,570,29.7646058761
LSTM,BPIC_2013_closed,10,0.05,3,LLL,1,greedy,0.9700765252,0.9756703377,1.3389830508,0.8026315789,0.7830090386,0.8822164428,0.9779660702,1.0,570,29.7646058761
LSTM,BPIC_2013_closed,10,0.05,3,LLL,2,temperature,0.9700765252,0.9756703377,1.0440677966,0.6929824561,0.8722709361,0.9313991907,0.9525423646,1.0,570,29.7646058761
LSTM,BPIC_2013_closed,10,0.05,3,LLL,2,greedy,0.9700765252,0.9756703377,0.7661016949,0.3771929825,0.8979700729,0.9607517796,0.9525423646,1.0,570,29.7646058761
LSTM,BPIC_2013_closed,10,0.05,3,LLL,3,temperature,0.9700765252,0.9756703377,0.7661016949,0.4210526316,0.9326010007,0.9588247814,0.8661016822,1.0,570,29.7646058761
LSTM,BPIC_2013_closed,10,0.05,3,LLL,3,greedy,0.9700765252,0.9756703377,0.5847457627,0.3245614035,0.9421536153,0.9725230897,0.8711864352,1.0,570,29.7646058761
LSTM,BPIC_2013_closed,10,0.05,4,baseline,1,temperature,0.974534446,0.9720293134,1.7677966102,1.25,0.7389859605,0.7928878043,0.8728813529,0.9122806787,1589,53.5086578811
LSTM,BPIC_2013_closed,10,0.05,4,baseline,1,greedy,0.974534446,0.9720293134,1.3474576271,0.8464912281,0.7842714814,0.8740461774,0.9728813171,1.0,1589,53.5086578811
LSTM,BPIC_2013_closed,10,0.05,4,baseline,2,temperature,0.974534446,0.9720293134,0.9423728814,0.7719298246,0.8829961614,0.9256222892,0.8305084705,0.947368443,1589,53.5086578811
LSTM,BPIC_2013_closed,10,0.05,4,baseline,2,greedy,0.974534446,0.9720293134,0.7033898305,0.4210526316,0.90910876,0.9524353154,0.8949152231,1.0,1589,53.5086578811
LSTM,BPIC_2013_closed,10,0.05,4,baseline,3,temperature,0.974534446,0.9720293134,0.5152542373,0.4078947368,0.9458811111,0.9575735123,0.8203389645,0.9692982435,1589,53.5086578811
